"region","assessid","stockid","mgmt","assessor","years","start_year","report_year","assesssource","method","methodshort","methodlong","country","area","areaid","stocklong","class","order","family","genus","species","species_orig","comm_name","assess_if_mostrecent","state_of_stock","primary_country","primary_FAOarea","assess_notes","M","M_year","M_notes","M_source","M_source_notes","B_start","B_end","F_start","F_end","C_start","C_end","terminal_year","assess_order","ty","ty_minus1","key_ty","key_ty_minus1","B_ty","B_ty_minus1","B_type","B_unit","TBbest_ty","TBbest_ty_minus1","TB_ty","TB_ty_minus1","TN_ty","TN_ty_minus1","SSB_ty","SSB_ty_minus1","SSB_E00eggs_ty","SSB_E00eggs_ty_minus1","F_ty","F_ty_minus1","F_type","F_unit","ERbest_ty","ERbest_ty_minus1","ER_ty","ER_ty_minus1","instF_ty","instF_ty_minus1","ERmsybest","ERmsybest_notes","ERmgt","ERmgt_notes","Fmsy","Fmsy_notes","Fmgt","Fmgt_notes","Flim","Flim_notes","TBmsybest","TBmsybest_notes","SSBmsy","SSBmsy_notes","SSBmgt","SSBmgt_notes","OFL_pdf","if_diff_5yrs","interval","check_ty_correct"
"Canada West Coast","DFO-HERRQCI-1951-2015-WATSON","HERRQCI","DFO","DFO","1951-2015",1951,2015,"http://www.dfo-mpo.gc.ca/csas-sccs/publications/scr-rs/2015/2015_038-eng.pdf","Statistical catch at age model","SCA","Statistical catch-at-age model","Canada","Queen Charlotte Islands","Canada-DFO-QCI","Pacific herring Queen Charlotte Islands","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea pallasii pallasii","Clupea pallasii","Pacific herring",0,"Current","Canada",67,"NULL",NA,NA,NA,NA,NA,1951,2015,1951,2015,1951,2015,2015,2,2007,2006,"DFO-HERRQCI-1951-2015-WATSON_2007","DFO-HERRQCI-1951-2015-WATSON_2006",5650,4450,"SSB-MT","MT",17700,22900,17700,22900,NA,NA,5650,4450,NA,NA,0,0,"ERbest-ratio","ratio",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",8,"Y"
"Canada West Coast","DFO-HERRSOG-1951-2015-WATSON","HERRSOG","DFO","DFO","1951-2015",1951,2015,"http://www.dfo-mpo.gc.ca/csas-sccs/publications/scr-rs/2015/2015_038-eng.pdf","Statistical catch at age model","SCA","Statistical catch-at-age model","Canada","Strait of Georgia","Canada-DFO-SOG","Pacific herring Strait of Georgia","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea pallasii pallasii","Clupea pallasii","Pacific herring",0,"Current","Canada",67,"NULL",NA,NA,NA,NA,NA,1951,2015,1951,2015,1951,2015,2015,2,2007,2006,"DFO-HERRSOG-1951-2015-WATSON_2007","DFO-HERRSOG-1951-2015-WATSON_2006",58400,56800,"SSB-MT","MT",163000,219000,163000,219000,NA,NA,58400,56800,NA,NA,0.0625766871165644,0.0858447488584475,"ERbest-ratio","ratio",0.0625766871165644,0.0858447488584475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",8,"Y"
"Canada West Coast","DFO-HERRWCVANI-1951-2015-WATSON","HERRWCVANI","DFO","DFO","1951-2015",1951,2015,"http://www.dfo-mpo.gc.ca/csas-sccs/publications/scr-rs/2015/2015_038-eng.pdf","Statistical catch at age model","SCA","Statistical catch-at-age model","Canada","West Coast of Vancouver Island","Canada-DFO-WCVANI","Pacific herring West Coast of Vancouver Island","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea pallasii pallasii","Clupea pallasii","Pacific herring",0,"Current","Canada",67,"NULL",NA,NA,NA,NA,NA,1951,2015,1951,2015,1951,2015,2015,2,2007,2006,"DFO-HERRWCVANI-1951-2015-WATSON_2007","DFO-HERRWCVANI-1951-2015-WATSON_2006",4300,4640,"SSB-MT","MT",19600,28700,19600,28700,NA,NA,4300,4640,NA,NA,0,0,"ERbest-ratio","ratio",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",8,"Y"
"Canada West Coast","DFO-PAC-HERRCC-1951-2007-COLLIE","HERRCC","DFO","DFO-PAC","1951-2007",1951,2007,"received from contact","Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","Canada","Central Coast","Canada-DFO-CC","Pacific herring Central Coast","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea pallasii pallasii","Clupea pallasii","Pacific herring",0,"Current","Canada",67,"this is a test entry only",NA,NA,NA,NA,NA,1951,2007,1951,2007,1951,2007,2007,3,2007,2006,"DFO-PAC-HERRCC-1951-2007-COLLIE_2007","DFO-PAC-HERRCC-1951-2007-COLLIE_2006",10800,14100,"SSB-MT","MT",11200,17200,11200,17200,NA,NA,10800,14100,NA,NA,0.0356,0.179,"ERbest-ratio","ratio",0.0356,0.179,0.0356,0.179,0.033,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",8,"Y"
"Canada West Coast","DFO-PAC-HERRPRD-1951-2007-COLLIE","HERRPRD","DFO","DFO-PAC","1951-2007",1951,2007,"received from contact","Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","Canada","Prince Rupert District","Canada-DFO-PRD","Pacific herring Prince Rupert District","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea pallasii pallasii","Clupea pallasii","Pacific herring",0,"Current","Canada",67,"this is a test entry only",NA,NA,NA,NA,NA,1951,2007,1951,2007,1951,2007,2007,3,2007,2006,"DFO-PAC-HERRPRD-1951-2007-COLLIE_2007","DFO-PAC-HERRPRD-1951-2007-COLLIE_2006",16800,15700,"SSB-MT","MT",17800,18300,17800,18300,NA,NA,16800,15700,NA,NA,0.0544,0.143,"ERbest-ratio","ratio",0.0544,0.143,0.0544,0.143,0.04,0.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",8,"Y"
"Canada West Coast","DFO-PAC-HERRQCI-1951-2007-COLLIE","HERRQCI","DFO","DFO-PAC","1951-2007",1951,2007,"received from contact","Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","Canada","Queen Charlotte Islands","Canada-DFO-QCI","Pacific herring Queen Charlotte Islands","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea pallasii pallasii","Clupea pallasii","Pacific herring",0,"Current","Canada",67,"this is a test entry only",NA,NA,NA,NA,NA,1951,2007,1951,2007,1951,2007,2007,3,2007,2006,"DFO-PAC-HERRQCI-1951-2007-COLLIE_2007","DFO-PAC-HERRQCI-1951-2007-COLLIE_2006",9150,4130,"SSB-MT","MT",9150,4130,9150,4130,NA,NA,9150,4130,NA,NA,0,0,"ERbest-ratio","ratio",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",8,"Y"
"Canada West Coast","DFO-PAC-HERRSOG-1951-2007-COLLIE","HERRSOG","DFO","DFO-PAC","1951-2007",1951,2007,"received from contact","Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","Canada","Strait of Georgia","Canada-DFO-SOG","Pacific herring Strait of Georgia","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea pallasii pallasii","Clupea pallasii","Pacific herring",0,"Current","Canada",67,"this is a test entry only",NA,NA,NA,NA,NA,1951,2007,1951,2007,1951,2007,2007,3,2007,2006,"DFO-PAC-HERRSOG-1951-2007-COLLIE_2007","DFO-PAC-HERRSOG-1951-2007-COLLIE_2006",65700,72400,"SSB-MT","MT",75500,90400,75500,90400,NA,NA,65700,72400,NA,NA,0.13,0.199,"ERbest-ratio","ratio",0.13,0.199,0.13,0.199,0.113,0.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",8,"Y"
"Canada West Coast","DFO-PAC-HERRWCVANI-1951-2007-COLLIE","HERRWCVANI","DFO","DFO-PAC","1951-2007",1951,2007,"received from contact","Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","Canada","West Coast of Vancouver Island","Canada-DFO-WCVANI","Pacific herring West Coast of Vancouver Island","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea pallasii pallasii","Clupea pallasii","Pacific herring",0,"Current","Canada",67,"this is a test entry only",NA,NA,NA,NA,NA,1951,2007,1951,2007,1951,2007,2007,3,2007,2006,"DFO-PAC-HERRWCVANI-1951-2007-COLLIE_2007","DFO-PAC-HERRWCVANI-1951-2007-COLLIE_2006",2140,2770,"SSB-MT","MT",2140,2770,2140,2770,NA,NA,2140,2770,NA,NA,0,0,"ERbest-ratio","ratio",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",8,"Y"
"Canada West Coast","DFO-PAC-RSOLEHSTR-1945-2001-COLLIE","RSOLEHSTR","DFO","DFO-PAC","1945-2001",1945,2001,"received from Contact","Statistical catch at age model","TSA","State-space catch at age time series analysis","Canada","Hecate Strait","Canada-DFO-HS","Rock sole Hecate Strait","Actinopterygii","Pleuronectiformes","Pleuronectidae","Lepidopsetta","Lepidopsetta bilineata","Lepidopsetta bilineata","Rock sole",0,"Current","Canada",67,"this is a test entry only","0.2","NULL","",NA,NA,1945,2001,1945,2001,1945,2001,2001,2,2001,2000,"DFO-PAC-RSOLEHSTR-1945-2001-COLLIE_2001","DFO-PAC-RSOLEHSTR-1945-2001-COLLIE_2000",2590,2940,"SSB-MT","MT",4850,5690,4850,5690,NA,NA,2590,2940,NA,NA,0.118,0.137,"ERbest-ratio","ratio",0.118,0.137,0.118,0.137,0.126,0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",12,"Y"
"Canada West Coast","DFO-PAC-RSOLEHSTR-1945-2014-OSGOOD","RSOLEHSTR","DFO","DFO-PAC","1945-2014",1945,2014,"http://www.dfo-mpo.gc.ca/csas-sccs/Publications/ResDocs-DocRech/2016/2016_009-eng.pdf","Statistical catch at age model","SCA","Statistical catch-at-age model","Canada","Hecate Strait","Canada-DFO-HS","Rock sole Hecate Strait","Actinopterygii","Pleuronectiformes","Pleuronectidae","Lepidopsetta","Lepidopsetta bilineata","Lepidopsetta bilineata","Rock sole",999,"Current","Canada",67,"NULL","0.2514","NULL","",NA,NA,1945,2014,1945,2013,1945,2013,2013,1,2001,2000,"DFO-PAC-RSOLEHSTR-1945-2014-OSGOOD_2001","DFO-PAC-RSOLEHSTR-1945-2014-OSGOOD_2000",8210,8480,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,8210,8480,NA,NA,0.0976,0.117,"ERbest-ratio","ratio",0.0976,0.117,0.0976,0.117,NA,NA,0.507,"ERmsy-ratio",0.122,"ERmgt-ratio",NA,NA,NA,NA,NA,NA,3737.6726,"TBmsy-calc-MT",4853,"Median of posterior",3883,"SSBM80%-MT","","Y",12,"Y"
"Europe (EU)","HAWG-SEELNSSA4-1993-2017-ICESIMP2018","SEELNSSA4","ICES","HAWG","1993-2017",1993,2017,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/san.sa.4.pdf","Seasonal age-based analytical (SMS-effort)","Unknown","Unknown","multinational","Sandeel Area 4","multinational-ICES-SA4","Sand eel Sandeel Area 4","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes spp","Ammodytes spp","Sand eel",0,"Current","Denmark",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1993,2017,1993,2016,1993,2016,2016,2,2016,2015,"HAWG-SEELNSSA4-1993-2017-ICESIMP2018_2016","HAWG-SEELNSSA4-1993-2017-ICESIMP2018_2015",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F-1/yr","1/yr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,"Fcap",NA,NA,NA,NA,NA,NA,102000,NA,102000,"SSBpa-MT",NA,"N",1,"N"
"Europe (EU)","HAWG-SEELNSSA4-1993-2018-ICESIMP2018","SEELNSSA4","ICES","HAWG","1993-2018",1993,2018,"","Seasonal age-based analytical (SMS-effort)","Unknown","Unknown","multinational","Sandeel Area 4","multinational-ICES-SA4","Sand eel Sandeel Area 4","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes spp","Ammodytes spp","Sand eel",999,"Current","Denmark",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1993,2018,1993,2017,1993,2017,2017,1,2016,2015,"HAWG-SEELNSSA4-1993-2018-ICESIMP2018_2016","HAWG-SEELNSSA4-1993-2018-ICESIMP2018_2015",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F-1/yr","1/yr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,"Fcap",NA,NA,NA,NA,NA,NA,102000,NA,102000,"SSBpa-MT",NA,"N",1,"N"
"Europe (EU)","WGBFAS-HERR30-31-1979-2017-ICESIMP2018","HERR30-31","ICES","WGBFAS","1979-2017",1979,2017,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/her.27.3031.pdf","Age-based analytical assessment (SAM)","Unknown","Unknown","multinational","Subdivisions 30-31","multinational-ICES-30-31","Herring Subdivisions 30-31","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Finland",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1980,2017,1980,2016,1980,2016,2016,2,2016,2015,"WGBFAS-HERR30-31-1979-2017-ICESIMP2018_2016","WGBFAS-HERR30-31-1979-2017-ICESIMP2018_2015",524000,557000,"SSB-MT","MT",704000,741000,704000,741000,NA,NA,524000,557000,NA,NA,0.23,0.21,"F-1/yr","1/yr",0.184659090909091,0.155195681511471,NA,NA,0.23,0.21,NA,NA,NA,NA,0.21,"",0.21,"Fmsy-1/yr",0.29,"",NA,NA,283180,NA,283180,"SSBtrigmsy-MT",NA,"N",1,"Y"
"Europe (EU)","WGBFAS-HERR30-31-1979-2018-ICESIMP2018","HERR30-31","ICES","WGBFAS","1979-2018",1979,2018,"","Age-based analytical assessment (SAM)","Unknown","Unknown","multinational","Subdivisions 30-31","multinational-ICES-30-31","Herring Subdivisions 30-31","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",999,"Current","Finland",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1980,2018,1980,2017,1980,2017,2017,1,2016,2015,"WGBFAS-HERR30-31-1979-2018-ICESIMP2018_2016","WGBFAS-HERR30-31-1979-2018-ICESIMP2018_2015",440000,492000,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,440000,492000,NA,NA,0.26,0.24,"F-1/yr","1/yr",NA,NA,NA,NA,0.26,0.24,NA,NA,NA,NA,0.21,"",0.21,"Fmsy-1/yr",0.29,"",NA,NA,283180,NA,283180,"SSBtrigmsy-MT",NA,"N",1,"Y"
"Europe (EU)","WGCSE-HADIS-1993-2016-ICESIMP2018","HADIS","ICES","WGCSE","1993-2016",1993,2016,"","Age-structured model (ASAP)","Unknown","Unknown","multinational","Irish Sea","multinational-ICES-VIIa","Haddock Irish Sea","Actinopterygii","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Haddock",0,"Current","Great Britain",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1993,2016,1993,2016,1993,2015,2015,2.5,2015,2014,"WGCSE-HADIS-1993-2016-ICESIMP2018_2015","WGCSE-HADIS-1993-2016-ICESIMP2018_2014",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F-1/yr","1/yr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,"",0.34,"Fpa-1/yr",0.47,"",NA,NA,3093,NA,3093,"SSBpa-MT",NA,"N",1,"N"
