"key","stockid","stockid_code","region","comparison","stock_comparison","stock_comparison_code","period","ty","MethodChange","B_recent","B_old","F_recent","F_old","Bmsy_recent","Bmsy_old","Fmsy_recent","Fmsy_old","B_by_Bmsy_recent","B_by_Bmsy_old","F_by_Fmsy_recent","F_by_Fmsy_old","OFL_ty_recent","OFL_ty_old","ty_code","num_assess","council","CouncilCode","interval.x","mu_B","mu_F","mu_Bmsy","mu_Fmsy","mu_B_by_Bmsy","mu_F_by_Fmsy","mu_OFL","log_B_recent","log_B_old","log_F_recent","log_F_old","log_Bmsy_recent","log_Bmsy_old","log_Fmsy_recent","log_Fmsy_old","log_B_by_Bmsy_recent","log_B_by_Bmsy_old","log_F_by_Fmsy_recent","log_F_by_Fmsy_old","log_OFL_ty_recent","log_OFL_ty_old","OFL_label","F_Fmsy_label","B_Bmsy_label","Fmsy_label","Bmsy_label","F_label","B_label","col_OFL_label","col_F_Fmsy_label","col_B_Bmsy_label","col_Fmsy_label","col_Bmsy_label","col_F_label","col_B_label","interval.y"
"ANCHOBAYB_4","ANCHOBAYB",1,"Europe (EU)",4,"ANCHOBAYB_4",4,1,2015,NA,147000,147000,0.170748299,0.17,21000,NA,NA,NA,7,NA,NA,NA,NA,NA,2,4,"Europe (EU)",8,0,133000,0.213,21000,NA,7,NA,NA,11.8981878657609,11.8981878657609,-1.76756474251351,-1.77195684193188,9.95227771670556,NA,NA,NA,1.94591014905531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0
"ANCHOBAYB_5","ANCHOBAYB",1,"Europe (EU)",5,"ANCHOBAYB_5",5,1,2015,NA,133000,147000,0.213,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,"Europe (EU)",8,2,133000,0.213,21000,NA,7,NA,NA,11.7981044072039,11.8981878657609,-1.54646311327271,-1.77195684193188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2
"ANCHOBAYB_6","ANCHOBAYB",1,"Europe (EU)",6,"ANCHOBAYB_6",6,1,2015,NA,133000,147000,0.213,0.170748299,NA,21000,NA,NA,NA,7,NA,NA,NA,NA,2,4,"Europe (EU)",8,2,133000,0.213,21000,NA,7,NA,NA,11.7981044072039,11.8981878657609,-1.54646311327271,-1.76756474251351,NA,9.95227771670556,NA,NA,NA,1.94591014905531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2
"ANCHOSA_1","ANCHOSA",8,"South Africa",1,"ANCHOSA_1",8,1,2011,NA,1820000,1170000,0.0352,0.07,204441,333000,NA,NA,8.902323898,3.513513514,NA,NA,NA,NA,1,2,"South Africa",15,4,1820000,0.0352,204441,NA,8.902323898,NA,NA,14.414347059053,13.9725143067739,-3.34670919637809,-2.65926003693278,12.2280347042809,12.7158977689626,NA,NA,2.18631235478909,1.25661653794982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,4
"ANGLMEDGSA15-16_1","ANGLMEDGSA15-16",9,"Mediterranean-Black Sea",1,"ANGLMEDGSA15-16_1",9,1,2010,NA,536,536,0.351,0.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"MBS",20,0,536,0.351,NA,NA,NA,NA,NA,6.2841341610708,6.2841341610708,-1.04696905551627,-1.04696905551627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0
"ARFLOUNDBSAI_1","ARFLOUNDBSAI",10,"US Alaska",1,"ARFLOUNDBSAI_1",10,1,2009,NA,908000,1050000,0.032929515,0.0158,194266,244650,0.18,0.29,2.604676063,3.069691396,0.211666667,0.089655172,131309.5036,232627.1421,1,2,"NPFMC",4,5,908000,0.032929515,194266,0.18,2.604676063,0.211666667,131309.5036,13.7189996575834,13.8643007221337,-3.41338591091368,-4.14774533894922,12.1769836329202,12.4075838967173,-1.71479842809193,-1.23787435600162,0.957308315457622,1.12157703407081,-1.55274256718275,-2.41178438957442,11.7853124384788,12.3571922022847,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,5
"ARFLOUNDGA_1","ARFLOUNDGA",11,"US Alaska",1,"ARFLOUNDGA_1",11,1,2010,NA,2100000,2140000,0.01147619,0.0104,347295,418969,0.204,0.219,3.196130091,2.983514293,0.078921569,0.046058459,340392.4333,369823.2271,1,2,"NPFMC",4,4,2100000,0.01147619,347295,0.204,3.196130091,0.078921569,340392.4333,14.5574479026937,14.576316386998,-4.46748082470868,-4.56594947283481,12.7579298418534,12.945552210487,-1.58963528513792,-1.51868354916564,1.16194073139353,1.09310189865061,-2.5393007171333,-3.07784384151054,12.7378544465859,12.8207804058599,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,4
"ARFLOUNDPCOAST_1","ARFLOUNDPCOAST",12,"US West Coast",1,"ARFLOUNDPCOAST_1",12,2,2007,NA,83300,83300,0.03697479,0.0286,11558.7,16593,0.7,0.21,5.476394404,3.814861689,0.407142857,0.136190476,37514.42397,14217.77769,1,2,"NPFMC",4,7,83300,0.03697479,11558.7,0.7,5.476394404,0.407142857,37514.42397,11.3302038281549,11.3302038281549,-3.29751894991459,-3.55434856115633,9.35519367915523,9.71673619866279,-0.356674943938732,-1.56064774826467,1.70044692893778,1.33890440955758,-0.898591155125631,-1.99370081429026,10.5324807772038,9.56224841055343,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,7
"ARGANCHONARG_1","ARGANCHONARG",1,"South America",1,"ARGANCHONARG_1",1,2,2007,NA,1230000,1140000,0.020325203,0.0215,NA,748152,NA,0.1898,NA,1.363359317,NA,0.168598525,NA,125506.3256,1,3,"South America",16,8,1320000,0.018939394,NA,NA,NA,NA,NA,14.0225247273486,13.9465388203707,-3.89589363589826,-3.83970234384852,NA,13.5253614448687,NA,-1.66178439280631,NA,0.309951740129187,NA,-1.78023498196985,NA,11.740111439471,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,8
"ARGANCHONARG_2","ARGANCHONARG",1,"South America",2,"ARGANCHONARG_2",2,2,2007,NA,1320000,1140000,0.018939394,0.0215,NA,748152,NA,0.1898,NA,1.363359317,NA,0.168598525,NA,125506.3256,1,3,"South America",16,9,1320000,0.018939394,NA,NA,NA,NA,NA,14.0931422945626,13.9465388203707,-3.96651118751222,-3.83970234384852,NA,13.5253614448687,NA,-1.66178439280631,NA,0.309951740129187,NA,-1.78023498196985,NA,11.740111439471,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,9
"ARGANCHONARG_3","ARGANCHONARG",1,"South America",3,"ARGANCHONARG_3",3,1,2015,NA,2300000,2320000,0.005434783,0.005387931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,"South America",16,1,2300000,0.005434783,NA,NA,NA,NA,NA,14.6484196808994,14.6570777436425,-5.21493568560899,-5.2235938267521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
"ARGANCHOSARG_1","ARGANCHOSARG",13,"South America",1,"ARGANCHOSARG_1",13,2,2007,NA,1250000,1670000,0.002616,0.00196,NA,298839,NA,0.17,NA,3.135467593,NA,0.035294118,NA,164003.4062,1,2,"South America",16,8,1250000,0.002616,NA,NA,NA,NA,NA,14.0386541092785,14.3283341843929,-5.94610884538718,-6.23481080573971,NA,12.6076602458119,NA,-1.77195684193188,NA,1.14277831543485,NA,-3.34403895782221,NA,12.0076424761028,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,8
"ARGHAKENARG_1","ARGHAKENARG",14,"South America",1,"ARGHAKENARG_1",14,1,2011,NA,126000,133000,0.644444444,0.611,435082,NA,0.379,NA,0.177667658,NA,2.094986807,NA,34663.92792,NA,1,2,"South America",16,3,126000,0.644444444,435082,0.379,0.177667658,2.094986807,34663.92792,11.7440371859336,11.7981044072039,-0.439366660473501,-0.492658319810542,12.983289798053,NA,-0.970219073899711,NA,-1.72784056376263,NA,0.739547255979571,NA,10.4534548840269,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,3
"ARGHAKESARG_1","ARGHAKESARG",15,"South America",1,"ARGHAKESARG_1",15,1,2011,NA,745000,728000,0.83,0.497,1501500,NA,0.414,NA,0.287712288,NA,1.789855072,NA,220444.7058,NA,1,2,"South America",16,3,745000,0.83,1501500,0.414,0.287712288,1.789855072,220444.7058,13.5211394973617,13.4980563271788,-0.186329578191493,-0.699165252885508,14.2219751664055,NA,-0.881889305156823,NA,-1.24579429817927,NA,0.582134651211663,NA,12.3034021750747,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,3
"ATBTUNAEATL_1","ATBTUNAEATL",16,"Atlantic Ocean",1,"ATBTUNAEATL_1",16,1,2012,NA,468000,564000,0.04,0.0292,NA,325322,0.112,0.14,NA,1.733666952,NA,0.208571429,49587.28749,73681.95524,1,2,"AOHS",17,3,468000,0.04,NA,0.112,NA,NA,49587.28749,13.0562235748998,13.2428095304802,-3.2188758248682,-3.5335865697079,NA,12.6925707400548,-2.18925640768704,-1.96611285637283,NA,0.550238790706546,NA,-1.56747371128027,10.8114897792576,11.2075132074935,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,3
"ATBTUNAWATL_1","ATBTUNAWATL",2,"Atlantic Ocean",1,"ATBTUNAWATL_1",4,1,2012,NA,29900,28300,0.071,0.077,62443.2,93621,0.08,0.06,0.478835165,0.302282608,0.8875,1.283333333,2298.821243,1648.0637,1,3,"AOHS",17,0,13500,0.102,62443.2,0.08,0.478835165,0.8875,2298.821243,10.3056137593788,10.2506170836313,-2.64507540194082,-2.56394985712845,11.0420126225154,11.4470099962753,-2.52572864430826,-2.81341071676004,-0.736398863968466,-1.1963929111045,-0.119346757632566,0.249460859371843,7.74015176749919,7.40735636263503,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0
"ATBTUNAWATL_2","ATBTUNAWATL",2,"Atlantic Ocean",2,"ATBTUNAWATL_2",5,1,2012,NA,13500,29900,0.102,0.071,NA,62443.2,NA,0.08,NA,0.478835165,NA,0.8875,NA,2298.821243,1,3,"AOHS",17,3,13500,0.102,62443.2,0.08,0.478835165,0.8875,2298.821243,9.51044496442652,10.3056137593788,-2.28278246569787,-2.64507540194082,NA,11.0420126225154,NA,-2.52572864430826,NA,-0.736398863968466,NA,-0.119346757632566,NA,7.74015176749919,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,3
"ATBTUNAWATL_3","ATBTUNAWATL",2,"Atlantic Ocean",3,"ATBTUNAWATL_3",6,1,2012,NA,13500,28300,0.102,0.077,NA,93621,NA,0.06,NA,0.302282608,NA,1.283333333,NA,1648.0637,1,3,"AOHS",17,3,13500,0.102,62443.2,0.08,0.478835165,0.8875,2298.821243,9.51044496442652,10.2506170836313,-2.28278246569787,-2.56394985712845,NA,11.4470099962753,NA,-2.81341071676004,NA,-1.1963929111045,NA,0.249460859371843,NA,7.40735636263503,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,3
"ATKABSAI_1","ATKABSAI",17,"US Alaska",1,"ATKABSAI_1",17,1,2009,NA,822000,520000,0.088564477,0.14,118697,91400,0.35,0.468,2.0472295,1.553610503,0.577142857,0.670940171,211549.8923,169864.0058,1,2,"NPFMC",4,5,822000,0.088564477,118697,0.35,2.0472295,0.577142857,211549.8923,13.6194956740383,13.1615840905576,-2.42402443856233,-1.96611285637283,11.6843293064789,11.4230007574422,-1.04982212449868,-0.75928698306449,0.716487415685372,0.440581578959466,-0.549665457329779,-0.399075309920221,12.2622161470486,12.0427534300066,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,5
"atmackerel_1","atmackerel",20,"US East Coast",1,"atmackerel_1",58,2,2004,NA,172130,877441,0.771,0.11,196894,644000,0.26,0.16,0.8742267,1.362486,2.965385,0.6875,35872.73,117898.3,1,3,"MAFMC",2,12,172900,0.771,181090,0.22,0.9547739,3.504545455,31060.13,12.0560052842656,13.6847649955944,-0.260066905418808,-2.20727491318972,12.190420791842,13.3754540050865,-1.34707364796661,-1.83258146374831,-0.134415554809306,0.309310972273114,1.08700687224948,-0.374693449441411,10.4877326757986,11.6775776674224,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA
"atmackerel_2","atmackerel",20,"US East Coast",2,"atmackerel_2",59,2,2004,NA,172900,877441,0.771,0.11,181090,644000,0.22,0.16,0.9547739,1.362486025,3.504545455,0.6875,31060.13,117898.3,1,3,"MAFMC",2,15,172900,0.771,181090,0.22,0.9547739,3.504545455,31060.13,12.0604686716714,13.6847649955944,-0.260066905418808,-2.20727491318972,12.1067494242354,13.3754540050865,-1.51412773262978,-1.83258146374831,-0.0462807204587437,0.309310990621926,1.25406082734067,-0.374693449441411,10.3436802821414,11.6775776674224,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA
"atmackerel_3","atmackerel",20,"US East Coast",3,"atmackerel_3",60,1,2016,NA,30870,43519,0.82,0.468,181090,196894,0.22,0.26,0.170467723,0.221027558,3.727272727,1.8,5545.553,9069.573,2,3,"MAFMC",2,3,30870,0.82,181090,0.22,0.170467723,3.727272727,5545.553,10.3375401174962,10.6809529033247,-0.198450938723838,-0.75928698306449,12.1067494242354,12.190420791842,-1.51412773262978,-1.34707364796661,-1.76920930809746,-1.50946788840581,1.31567679383277,0.587786664902119,8.62075162429784,9.11268046372092,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA
"AUSSALMONNZ_1","AUSSALMONNZ",18,"New Zealand",1,"AUSSALMONNZ_1",18,2,2006,NA,26500,20200,0.06,0.105,17680,12280.72932,NA,0.32,1.498868778,1.644853451,NA,0.328125,NA,5086.771631,1,2,"New Zealand",13,7,26500,0.06,17680,NA,1.498868778,NA,NA,10.1849000119743,9.9134378833893,-2.81341071676004,-2.25379492882461,9.78018933619163,9.41578659081704,NA,-1.13943428318836,0.404710675595509,0.497651292710811,NA,-1.11436064563625,NA,8.53439865114747,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,7
"BGRDRNSWWA_1","BGRDRNSWWA",19,"Australia",1,"BGRDRNSWWA_1",19,1,2012,NA,72361,75700,0.05934412,0.0555,14340.706,10525.1593,0.1222,0.1653,1.653649409,2.71729854,0.469148118,0.342407743,7637.943803,10745.70126,1,2,"Australia",12,5,72361,0.05934412,14340.706,0.1222,1.653649409,0.469148118,7637.943803,11.1894227592037,11.2345334394255,-2.82440223612856,-2.89137225822975,9.57085734585663,9.26152379382797,-2.10209623224464,-1.79999327415516,0.50298460859554,0.999638202950516,-0.756836743764302,-1.07175302106837,8.94088371020406,9.28226107079067,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,5
"BIGEYEATL_1","BIGEYEATL",20,"Atlantic Ocean",1,"BIGEYEATL_1",20,1,2009,NA,393000,423000,0.204580153,0.208,451459.7572,426500.5678,0.1627,0.214,0.870509483,0.991792349,1.315304241,0.964302272,59010.48113,91241.1,1,2,"AOHS",17,5,393000,0.204580153,451459.7572,0.1627,0.870509483,1.315304241,59010.48113,12.8815648908514,12.9551274580284,-1.58679543407986,-1.57021719928082,13.0202415165268,12.9633689772143,-1.81584726475714,-1.54177926396029,-0.138676626093999,-0.00824151921376521,0.274068000846859,-0.0363504733553312,10.9854703533818,11.4212607324414,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,5
"BIGEYECWPAC_1","BIGEYECWPAC",21,"Pacific Ocean",1,"BIGEYECWPAC_1",21,2,2006,NA,1440000,301000,0.109722222,0.356,526500.4134,102200,0.5041,NA,1.804367054,1.056751468,0.634794684,1.375579598,570169.4761,77898.8,1,2,"POHS",19,9,1440000,0.109722222,526500.4134,0.5041,1.804367054,0.634794684,570169.4761,14.1801536715522,12.614865543731,-2.2098033615684,-1.03282454813011,13.174007395741,11.5346869567517,-0.684980617893552,NA,0.590209867684458,0.0551995496286898,-0.454453664656063,0.318875168119667,13.2536889221092,11.2631658273756,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,9
"BIGHTREDSE_1","BIGHTREDSE",22,"Australia",1,"BIGHTREDSE_1",22,2,2006,NA,12300,54000,0.0829,0.0428,1234.694,16240.128,0.1035,NA,2.875206326,0.98521391,0.807729469,1.07,1148.542432,2160,1,2,"Australia",12,8,12300,0.0829,1234.694,0.1035,2.875206326,0.807729469,1148.542432,9.41735454136051,10.8967393255464,-2.49012021684089,-3.15121717639439,7.11857844508186,9.69524049545801,-2.26818366627671,NA,1.05612443723951,-0.0148964938748086,-0.213528092118356,0.0676586484738149,7.04624896702787,7.67786350067821,NA,NA,NA,NA,1,NA,NA,1,1,1,1,2,1,1,8
"BlackSeaBass_1","BlackSeaBass",3,"US South Atlantic",1,"BlackSeaBass_1",7,1,2010,NA,196.7,173.6,0.786,0.747,256,248,0.61,0.698,0.768359375,0.7,1.28852459,1.070200573,76.16427028,74.15647259,1,3,"SAFMC",6,2,281.3,0.83,300,0.31,0.937666667,2.677419355,62.99139427,5.28167972539501,5.15675380222625,-0.24079848655293,-0.29169009384932,5.54517744447956,5.51342874616498,-0.49429632181478,-0.359536176219765,-0.263497719084549,-0.356674943938732,0.253497835134623,0.0678460823088651,4.3328924587642,4.30617735526659,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA
"BlackSeaBass_2","BlackSeaBass",3,"US South Atlantic",2,"BlackSeaBass_2",8,2,2010,NA,281.3,173.6,0.83,0.747,300,248,0.31,0.698,0.937666667,0.7,2.677419355,1.070200573,62.99139427,74.15647259,1,3,"SAFMC",6,6,281.3,0.83,300,0.31,0.937666667,2.677419355,62.99139427,5.63942171549581,5.15675380222625,-0.186329578191493,-0.29169009384932,5.7037824746562,5.51342874616498,-1.17118298150295,-0.359536176219765,-0.0643607588048975,-0.356674943938732,0.984853403371693,0.0678460823088651,4.14299811817217,4.30617735526659,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA
"BlackSeaBass_3","BlackSeaBass",3,"US South Atlantic",3,"BlackSeaBass_3",9,1,2012,NA,328.6,264.6,0.914,0.41,300,256,0.31,0.61,1.095333333,1.03359375,2.948387097,0.672131148,73.58326398,102.4558511,2,3,"SAFMC",6,4,328.6,0.914,300,0.31,1.095333333,2.948387097,73.58326398,5.79484120560317,5.57821925168086,-0.089924707527987,-0.891598119283784,5.7037824746562,5.54517744447956,-1.17118298150295,-0.49429632181478,0.0910587306426452,0.0330418072012929,1.08125827405154,-0.397301796786077,4.29841760830136,4.62943198481593,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA
"BLINGVb-VI-VII_1","BLINGVb-VI-VII",4,"Europe (EU)",1,"BLINGVb-VI-VII_1",10,1,2013,NA,87000,63800,0.0351,0.0405,75000,NA,0.12,0.07,1.16,NA,0.2925,0.578571429,9837.922006,4313.27429,1,3,"Europe (EU)",8,2,84800,0.0368,75000,0.12,1.130666667,0.306666667,9589.146966,11.3736633976367,11.0635084693329,-3.34955414851032,-3.20645330486964,11.2252433925184,NA,-2.12026353620009,-2.65926003693278,0.148420005118273,NA,-1.22929061231023,-0.547193267196125,9.193999789493,8.3694525907305,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2
"BLINGVb-VI-VII_2","BLINGVb-VI-VII",4,"Europe (EU)",2,"BLINGVb-VI-VII_2",11,1,2013,NA,84800,63800,0.0368,0.0405,75000,NA,0.12,0.07,1.130666667,NA,0.306666667,0.578571429,9589.146966,4313.27429,1,3,"Europe (EU)",8,4,84800,0.0368,75000,0.12,1.130666667,0.306666667,9589.146966,11.34805082178,11.0635084693329,-3.30225743380725,-3.20645330486964,11.2252433925184,NA,-2.12026353620009,-2.65926003693278,0.122807429556358,NA,-1.1819938965202,-0.547193267196125,9.1683872135562,8.3694525907305,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,4
"BLINGVb-VI-VII_3","BLINGVb-VI-VII",4,"Europe (EU)",3,"BLINGVb-VI-VII_3",12,1,2015,NA,91800,92800,0.0368,0.0339,75000,75000,0.12,0.12,1.224,1.237333333,0.306666667,0.2825,10380.70391,10493.78347,2,3,"Europe (EU)",8,2,91800,0.0368,75000,0.12,1.224,0.306666667,10380.70391,11.4273675766086,11.4382019187743,-3.30225743380725,-3.38434026459573,11.2252433925184,11.2252433925184,-2.12026353620009,-2.12026353620009,0.202124184090134,0.212958525986448,-1.1819938965202,-1.26407672839564,9.24770396848612,9.25853831033833,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2
