"assessid","stockid","country","region","assesssource","method","methodlong","M","M_notes","ty","B_ty","B_type","B_unit","TBbest_ty","TB_ty","TB_ty_minus1","TN_ty","TN_ty_minus1","SSB_ty","SSB_ty_minus1","SSB_E00eggs_ty","SSB_E00eggs_ty_minus1","F_ty","F_ty_minus1"
"MARAM-ANCHOSA-1949-2015-deMoor","ANCHOSA","South Africa","South Africa","http://www.maram.uct.ac.za/maram/publications/2016","Statistical catch at age model","Statistical catch-at-age model","1.2","",2011,1820000,"TBbest-MT","MT",1820000,1820000,3410000,1510000000000,542000000000,1110000,2110000,NA,NA,0.0352,0.0413
"MARAM-ANCHOSA-1984-2011-deMoor","ANCHOSA","South Africa","South Africa","www.mth.uct.ac.za/maram/pub/2012/FISHERIES_2012_SEP_SWG-PEL_47.pdf","Biomass dynamics model","Age-structured surplus production model","0.9","",2011,1170000,"TBbest-MT","MT",1170000,1170000,1650000,NA,NA,1170000,1650000,NA,NA,0.07,0.07
"CNR-IAMC-ANGLMEDGSA15-16-2008-2010-BANOBI","ANGLMEDGSA15-16","multinational","Mediterranean-Black Sea","http://151.1.154.86/GfcmWebSite/SAC/SCSA/14/SAFs.html","VPA","Package based on LCA and Y/R analysis adapted to Mediterranean fisheries; Lleonart and Salat, 1992","0.2","This is the M that was used for the VIT analysis",2010,536,"SSB-MT","MT",NA,NA,NA,NA,NA,536,978,NA,NA,0.351,0.254
"STECF-ANGLMEDGSA15-16-2006-2011-OSIO","ANGLMEDGSA15-16","multinational","Mediterranean-Black Sea","https://stecf.jrc.ec.europa.eu/documents/43805/319223/2012-11_STECF+12-19+-+MED+stock+assessements+part+1_JRC76735.pdf","VPA","Package based on LCA and Y/R analysis adapted to Mediterranean fisheries; Lleonart and Salat, 1992",NA,NA,2010,536,"SSB-MT","MT",NA,NA,NA,NA,NA,536,978,NA,NA,0.351,0.254
"AFSC-ARFLOUNDBSAI-1970-2010-STACHURA","ARFLOUNDBSAI","USA","US Alaska","http://www.afsc.noaa.gov/REFM/docs/2010/BSAIatf.pdf","Statistical catch at age model","an AD-Model builder statistical Catch at Age Model",NA,NA,2009,1050000,"TBbest-MT","MT",1050000,1050000,1030000,NA,NA,751000,720000,NA,NA,0.0158,0.0147
"AFSC-ARFLOUNDBSAI-1976-2015-SISIMP2016","ARFLOUNDBSAI","USA","US Alaska","","Unknown","Unknown",NA,NA,2009,908000,"TBbest-MT","MT",908000,908000,895000,NA,NA,506000,491000,NA,NA,0.0329295154185022,0.0239106145251397
"AFSC-ARFLOUNDGA-1958-2010-STACHURA","ARFLOUNDGA","USA","US Alaska","http://www.afsc.noaa.gov/REFM/docs/2010/GOAatf.pdf","Statistical catch at age model","an AD-Model builder statistical Catch at Age Model","0.2","for females; males: 0.35",2010,2140000,"TBbest-MT","MT",2140000,2140000,2160000,NA,NA,1250000,1250000,NA,NA,0.0104,0.0116
"AFSC-ARFLOUNDGA-1961-2015-SISIMP2016","ARFLOUNDGA","USA","US Alaska","","Unknown","Unknown",NA,NA,2010,2100000,"TBbest-MT","MT",2100000,2100000,2110000,NA,NA,1110000,1100000,NA,NA,0.0114761904761905,0.0118009478672986
"NWFSC-ARFLOUNDPCOAST-1914-2015-SISIMP2016","ARFLOUNDPCOAST","USA","US West Coast","","Integrated Analysis","Stock Synthesis v2.0 model",NA,NA,2007,83300,"TBbest-MT","MT",83300,83300,79800,NA,NA,63300,60600,NA,NA,0.0369747899159664,0.0302005012531328
"INIDEP-ARGANCHONARG-1989-2015-ORLANDO","ARGANCHONARG","Argentina","South America","NULL","Statistical catch at age model","Unknown statistical catch-at-age model","1.01","",2007,1230000,"TBbest-MT","MT",1230000,1230000,1280000,NA,NA,966000,1020000,NA,NA,0.0203252032520325,0.036796875
"INIDEP-ARGANCHONARG-1989-2016-PARMA","ARGANCHONARG","Argentina","South America","NULL","Statistical catch at age model","Unknown statistical catch-at-age model","1.01","",2007,1320000,"TBbest-MT","MT",1320000,1320000,1350000,NA,NA,1030000,1070000,NA,NA,0.0189393939393939,0.0348888888888889
"INIDEP-ARGANCHOSARG-1989-2015-BURATTI","ARGANCHOSARG","Argentina","South America","NULL","Biomass dynamics model","Age-structured surplus production model","0.98","",2007,1250000,"TBbest-MT","MT",1250000,1250000,1330000,NA,NA,773000,951000,NA,NA,0.002616,0.00144360902255639
"INIDEP-ARGHAKENARG-1985-2014-PARMA","ARGHAKENARG","Argentina","South America","NULL","VPA","Extended Survivor Analysis","0.3","",2011,126000,"TBbest-MT","MT",126000,126000,117000,NA,NA,77300,63200,NA,NA,0.644444444444444,0.616239316239316
"INIDEP-ARGHAKENARG-1986-2011-CHING","ARGHAKENARG","Argentina","South America","NULL","VPA","Extended Survivor Analysis",NA,NA,2011,133000,"TBbest-MT","MT",133000,133000,117000,NA,NA,74300,62500,NA,NA,0.611,0.616
"INIDEP-ARGHAKESARG-1986-2015-PARMA","ARGHAKESARG","Argentina","South America","NULL","VPA","Extended Survivor Analysis","0.3","",2011,745000,"TBbest-MT","MT",745000,745000,699000,NA,NA,432000,436000,NA,NA,0.83,0.777
"INIDEP-ARGHAKESARG-1990-2011-CHING","ARGHAKESARG","Argentina","South America","NULL","VPA","Extended Survivor Analysis",NA,NA,2011,728000,"TBbest-MT","MT",728000,728000,714000,NA,NA,NA,NA,NA,NA,0.497,0.476
"ICCAT-ATBTUNAEATL-1950-2015-PONS","ATBTUNAEATL","multinational","Atlantic Ocean","http://www.iccat.es/Documents/CVSP/CV071_2015/n_2/CV071020692.pdf","VPA","Virtual Population Analysis",NA,NA,2012,564000,"SSB-MT","MT",NA,NA,NA,NA,NA,564000,504000,NA,NA,0.0292,0.0622
"ICCAT-ATBTUNAEATL-1951-2016-PONS","ATBTUNAEATL","multinational","Atlantic Ocean","http://iccat.es/Documents/Meetings/Docs/2017_BFT_ASS_REP_ENG.pdf","VPA","Virtual Population Analysis",NA,NA,2012,468000,"SSB-MT","MT",NA,NA,NA,NA,NA,468000,414000,NA,NA,0.04,0.05
"ICCAT-ATBTUNAWATL-1950-2015-PONS","ATBTUNAWATL","multinational","Atlantic Ocean","http://www.iccat.es/Documents/CVSP/CV071_2015/n_2/CV071020692.pdf","VPA","Virtual Population Analysis",NA,NA,2012,29900,"SSB-MT","MT",NA,NA,NA,NA,NA,29900,27800,NA,NA,0.071,0.0769
"ICCAT-ATBTUNAWATL-1951-2016-PONS","ATBTUNAWATL","multinational","Atlantic Ocean","http://iccat.es/Documents/Meetings/Docs/2017_BFT_ASS_REP_ENG.pdf","VPA","Virtual Population Analysis",NA,NA,2012,13500,"SSB-MT","MT",NA,NA,NA,NA,NA,13500,11800,NA,NA,0.102,0.141
"ICCAT-ATBTUNAWATL-1970-2013-SISIMP2016","ATBTUNAWATL","multinational","Atlantic Ocean","","VPA","Virtual Population Analysis",NA,NA,2012,28300,"SSB-MT","MT",NA,NA,NA,NA,NA,28300,26600,NA,NA,0.077,0.081
"AFSC-ATKABSAI-1976-2011-STACHURA","ATKABSAI","USA","US Alaska","http://www.afsc.noaa.gov/REFM/docs/2010/BSAIatka.pdf","Statistical catch at age model","an AD-Model builder statistical Catch at Age Model","0.3","",2009,520000,"TBbest-MT","MT",520000,520000,472000,NA,NA,142000,156000,NA,NA,0.14,0.123093220338983
"AFSC-ATKABSAI-1977-2015-SISIMP2016","ATKABSAI","USA","US Alaska","","Unknown","Unknown",NA,NA,2009,822000,"TBbest-MT","MT",822000,822000,810000,NA,NA,243000,278000,NA,NA,0.0885644768856448,0.0717283950617284
"NIWA-AUSSALMONNZ-1929-2013-FU","AUSSALMONNZ","New Zealand","New Zealand","received from contact","Integrated Analysis","CASAL","0.2","",2006,26500,"SSB-MT","MT",NA,NA,NA,NA,NA,26500,25700,NA,NA,0.06,0.07
"CSIRO-BGRDRNSWWA-1960-2012-MOESENEDER","BGRDRNSWWA","Australia","Australia","attached","Integrated Analysis","Stock Synthesis v3.0 model","0.147378","Fem and Male",2012,75700,"TBbest-MT","MT",75700,75700,73100,NA,NA,28600,32100,NA,NA,0.0555,0.0586
"CSIRO-BGRDRNSWWA-1960-2017-MOESENEDER","BGRDRNSWWA","Australia","Australia","attached","Integrated Analysis","Stock Synthesis v3.0 model","0.174052 and 0.18232","Fem and Male",2012,72361,"TBbest-MT","MT",72361,72361,69278.8,NA,NA,23714.5,27892.1,NA,NA,0.05934412,0.06213804
"ICCAT-BIGEYEATL-1950-2010-CHING","BIGEYEATL","multinational","Atlantic Ocean","www.iccat.int/Documents/Meetings/Docs/2010_BET_Assessment_REP_ENG.pdf","Biomass dynamics model","Surplus production model",NA,NA,2009,423000,"TBbest-MT","MT",423000,423000,403000,NA,NA,NA,NA,NA,NA,0.208,0.172
"ICCAT-BIGEYEATL-1950-2016-PONS","BIGEYEATL","multinational","Atlantic Ocean","http://iccat.es/Documents/Meetings/Docs/2015_BET%20ASSESS_REPORT_ENG.pdf","Biomass dynamics model","Surplus production model",NA,NA,2009,393000,"TBbest-MT","MT",393000,393000,374000,NA,NA,NA,NA,NA,NA,0.204580152671756,0.181016042780749
"SPC-BIGEYECWPAC-1950-2015-PONS","BIGEYECWPAC","multinational","Pacific Ocean","NULL","Statistical catch at age model","A length-based, age and spatially-structured model for fisheries stock assessment",NA,NA,2006,1440000,"TBbest-MT","MT",1440000,1440000,1480000,NA,NA,950000,942000,NA,NA,0.109722222222222,0.1
"SPC-BIGEYECWPAC-1952-2006-JENSEN","BIGEYECWPAC","multinational","Pacific Ocean","http://www.wcpfc.int/sc4/pdf/SC4-SA-WP1-rev.1%20%5BBET%20Assessment%5D.pdf","Statistical catch at age model","A length-based, age and spatially-structured model for fisheries stock assessment",NA,NA,2006,301000,"TBbest-MT","MT",301000,301000,324000,NA,NA,108000,122000,NA,NA,0.356,0.407
"CSIRO-BIGHTREDSE-1958-2007-FULTON","BIGHTREDSE","Australia","Australia","Received from CSIRO assessment team","Integrated Analysis","Stock Synthesis v2.0 model","0.1","",2006,54000,"TBbest-MT","MT",54000,54000,54600,NA,NA,16000,16500,NA,NA,0.0428,0.0317
"CSIRO-BIGHTREDSE-1960-2014-MOESENEDER","BIGHTREDSE","Australia","Australia","attached","Integrated Analysis","Stock Synthesis v3.0 model","0.105997","Fem and Male",2006,12300,"TBbest-MT","MT",12300,12300,12700,NA,NA,3550,3710,NA,NA,0.0829,0.0623
"WGDEEP-BLINGVb-VI-VII-1966-2016-ICESIMP2016","BLINGVb-VI-VII","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/bli-5b67.pdf","Unknown","Unknown",NA,NA,2013,87000,"SSB-MT","MT",NA,NA,NA,NA,NA,87000,84400,NA,NA,0.0351,0.042
"WGDEEP-BLINGVb-VI-VII-1966-2018-ICESIMP2018","BLINGVb-VI-VII","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2013,84800,"SSB-MT","MT",NA,NA,NA,NA,NA,84800,82200,NA,NA,0.0368,0.0458
"WGDEEP-BLINGVb-VI-VII-1986-2014-ICESIMP2016","BLINGVb-VI-VII","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/bli-5b67.pdf","Unknown","Unknown",NA,NA,2013,63800,"SSB-MT","MT",NA,NA,NA,NA,NA,63800,62900,NA,NA,0.0405,0.0462
"NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD","BLUEFISHATLC","USA","US East Coast","http://www.asmfc.org","Statistical catch at age model","Age Structured Assessment Program","0.2","",2007,154000,"TBbest-MT","MT",154000,154000,142000,NA,NA,129000,124000,NA,NA,0.101,0.0874
"NEFSC-BLUEFISHATLC-1985-2014-SISIMP2016","BLUEFISHATLC","USA","US East Coast","","Statistical catch at age model","Age Structured Assessment Program",NA,NA,2007,83300,"TBbest-MT","MT",83300,83300,86000,NA,NA,72100,75100,NA,NA,0.207683073229292,0.17093023255814
"SEFSC-BNOSESHARATL-1950-2005-FAUCONNET","BNOSESHARATL","USA","US Southeast and Gulf","http://www.sefsc.noaa.gov/sedar/","Biomass dynamics model","Age-structured surplus production model",NA,NA,2005,372000,"TN-E00","E00",NA,NA,NA,372000,441000,NA,NA,NA,NA,0.144623655913978,0.238095238095238
"SEFSC-BNOSESHARATL-1950-2009-SISIMP2016","BNOSESHARATL","USA","US Southeast and Gulf","","Unknown","Unknown",NA,NA,2005,170000,"TN-E00","E00",NA,NA,NA,170000,174000,NA,NA,NA,NA,0.0870588235294118,0.0879310344827586
"PFMC-BOCACCSPCOAST-1930-2009-CHING","BOCACCSPCOAST","USA","US West Coast","http://www.pcouncil.org/wp-content/uploads/Bocaccio_Final_Jan15_2010.pdf","Integrated Analysis","Stock Synthesis v3.0 model",NA,NA,2008,12700,"TBbest-MT","MT",12700,12700,12300,NA,NA,NA,NA,NA,NA,0.00614,0.00511
"SWFSC-BOCACCSPCOAST-1935-2013-SISIMP2016","BOCACCSPCOAST","USA","US West Coast","","Integrated Analysis","Stock Synthesis v3.0 model",NA,NA,2008,10800,"TBbest-MT","MT",10800,10800,10300,NA,NA,NA,NA,NA,NA,0.00546296296296296,0.00611650485436893
"SEFSC-BRNSHRIMPGM-1984-2011-HIVELY","BRNSHRIMPGM","USA","US Southeast and Gulf","NULL","Integrated Analysis","Stock Synthesis v3.0 model",NA,NA,2011,60800,"SSB-MT","MT",NA,NA,NA,NA,NA,60800,55500,NA,NA,0.625,0.513
"SEFSC-BRNSHRIMPGM-1984-2014-SISIMP2016","BRNSHRIMPGM","USA","US Southeast and Gulf","","Integrated Analysis","Stock Synthesis v3.0 model",NA,NA,2011,53500,"SSB-MT","MT",NA,NA,NA,NA,NA,53500,58000,NA,NA,0.62,0.464
"NEFSC-BSBASSMATLC-1939-2015-ASHBROOK","BSBASSMATLC","USA","US East Coast","http://www.nefsc.noaa.gov/publications/crd/crd1703/","Statistical catch at age model","Statistical catch-at-age model","0.4","range of 0.1 to 0.9",2007,4354.133,"TBbest-MT","MT",4354.133,4354.133,5303.2966,42265144,38730240,NA,NA,NA,NA,0.235617515588063,0.193402345250688
"NEFSC-BSBASSMATLC-1968-2007-SHEPHERD","BSBASSMATLC","USA","US East Coast","http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/","Statistical catch at age model","A statistical catch-at-length model","0.4","",2007,12900,"TBbest-MT","MT",12900,12900,12800,NA,NA,11500,11600,NA,NA,0.217829457364341,0.21171875
"NEFSC-BSBASSMATLC-1968-2011-SISIMP2016","BSBASSMATLC","USA","US East Coast","","Statistical catch at age model","A statistical catch-at-length model",NA,NA,2007,14100,"TBbest-MT","MT",14100,14100,15500,NA,NA,12700,14100,NA,NA,0.165957446808511,0.155483870967742
"WGNPBW-BWHITNEA-1980-2012-CHING","BWHITNEA","multinational","Europe (EU)","http://www.ices.dk/committe/acom/comwork/report/2012/2012/whb-comb.pdf","Statistical catch at age model","SAM",NA,NA,2011,4830000,"TBbest-MT","MT",4830000,4830000,3930000,NA,NA,2830000,2860000,NA,NA,0.0215,0.133
"WGWIDE-BWHITNEA-1980-2013-ICESIMP2016","BWHITNEA","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/whb-comb.pdf","Unknown","Unknown",NA,NA,2011,5310000,"TBbest-MT","MT",5310000,5310000,4140000,NA,NA,3020000,2910000,NA,NA,0.0195856873822976,0.130434782608696
"WGWIDE-BWHITNEA-1980-2014-ICESIMP2016","BWHITNEA","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/whb-comb.pdf","Unknown","Unknown",NA,NA,2011,5190000,"TBbest-MT","MT",5190000,5190000,4140000,NA,NA,3010000,2910000,NA,NA,0.0200385356454721,0.130434782608696
"WGWIDE-BWHITNEA-1980-2015-ICESIMP2016","BWHITNEA","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2011,4360000,"TBbest-MT","MT",4360000,4360000,3560000,NA,NA,2570000,2540000,NA,NA,0.0238532110091743,0.151685393258427
"WGWIDE-BWHITNEA-1980-2017-ICESIMP2018","BWHITNEA","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/whb-comb.pdf","Unknown","Unknown",NA,NA,2011,4370000,"TBbest-MT","MT",4370000,4370000,3740000,NA,NA,2690000,2680000,NA,NA,0.0237986270022883,0.144385026737968
"WGWIDE-BWHITNEA-1980-2018-ICESIMP2018","BWHITNEA","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/whb.27.1-91214.pdf","Unknown","Unknown",NA,NA,2011,4340000,"TBbest-MT","MT",4340000,4340000,3710000,NA,NA,2660000,2650000,NA,NA,0.023963133640553,0.1455525606469
"SWFSC-CALSCORPSCAL-1914-2015-SISIMP2016","CALSCORPSCAL","USA","US West Coast","","Integrated Analysis","Stock Synthesis v2.0 model",NA,NA,2004,1840,"TBbest-MT","MT",1840,1840,1830,NA,NA,763,695,NA,NA,0.0298369565217391,0.0934426229508197
"SWFSC-CALSCORPSCAL-1990-2005-STANTON","CALSCORPSCAL","USA","US West Coast","http://www.dfg.ca.gov/marine/scorpionfish/index.asp","Statistical catch at age model","an AD-Model builder statistical Catch at Age Model","0.25","",2004,1860,"TBbest-MT","MT",1860,1860,1850,NA,NA,774,704,NA,NA,0.071,0.085
"AFWG-CAPENOR-1965-2007-MINTO","CAPENOR","multinational","Europe (non-EU)","http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf","Unknown","Spreadsheet assessment model used for Capelin",NA,NA,2006,902000,"TBbest-MT","MT",902000,902000,374000,NA,NA,72000,122000,NA,NA,0,0.00267
"AFWG-CAPENOR-1972-2017-ICESIMP2018","CAPENOR","multinational","Europe (non-EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/cap.27.1-2.pdf","Unknown","Unknown",NA,NA,2006,787000,"TBbest-MT","MT",787000,787000,324000,NA,NA,437000,174000,NA,NA,0,0.00308641975308642
"MARAM-CHAKESA-1917-2013-Rademeyer","CHAKESA","South Africa","South Africa","http://www.math.uct.ac.za/maram/workshop/2013/MARAM_IWS_DEC13_Hake_P2.pdf","Statistical catch at age model","Unknown statistical catch-at-age model","0.47","Averaged over ages. Fixed at 0.75 for ages 0 and 1 and fixed at 0.375 for ages 6 and above, with a linear trend between these two values for ages 2 to 5.",2013,596000,"TBbest-MT","MT",596000,596000,554000,NA,NA,207000,186000,NA,NA,0.043,0.037
"MARAM-CHAKESA-1917-2015-Rademeyer","CHAKESA","South Africa","South Africa","http://www.mth.uct.ac.za/maram/pub/2015/FISHERIES_2015_AUG_SWG-DEM_16.pdf","Statistical catch at age model","an AD-Model builder statistical Catch at Age Model","0.717","Fixed at 0.75 for ages 0 and 1 and fixed at 0.375 for ages 6 and above, with a linear trend between these two values for ages 2 to 5.  AVERAGE weighted by numbers-at-age is 0.717",2013,469000,"TBbest-MT","MT",469000,469000,451000,NA,NA,142000,133000,NA,NA,0.05,0.07
"NWFSC-CHILISPCOAST-1892-2007-BRANCH","CHILISPCOAST","USA","US West Coast","http://www.pcouncil.org/groundfish/gfsafe1008/ChilipepperDec17_2007_DBS.pdf","Integrated Analysis","Stock Synthesis v2.0 model","0.16","for females; for males 0.202",2006,32900,"TBbest-MT","MT",32900,32900,32600,NA,NA,23200,22100,NA,NA,0.00387,0.0059
"SWFSC-CHILISPCOAST-1892-2015-SISIMP2016","CHILISPCOAST","USA","US West Coast","","Integrated Analysis","Stock Synthesis v3.0 model",NA,NA,2006,37500,"TBbest-MT","MT",37500,37500,37100,NA,NA,NA,NA,NA,NA,0.00336,0.0022911051212938
"FAFRFJ-CMACKPJPN-1970-2009-ONO","CMACKPJPN","Japan","Japan","http://abchan.job.affrc.go.jp/digests22/details/2205.pdf","VPA","Virtual Population Analysis","0.4","",2009,683000,"TBbest-MT","MT",683000,683000,618000,NA,NA,226000,193000,NA,NA,0.186,0.278
"FAFRFJ-CMACKPJPN-1970-2013-JPNIMP2016","CMACKPJPN","Japan","Japan","http://abchan.job.affrc.go.jp/digests25/details/2505.pdf","Unknown","Unknown","0.4","",2009,747000,"TBbest-MT","MT",747000,747000,566000,NA,NA,139000,148000,NA,NA,0.170013386880857,0.30565371024735
"DFO-COD2J3KL-1959-2014-WATSON","COD2J3KL","Canada","Canada East Coast","http://www.dfo-mpo.gc.ca/csas-sccs/publications/scr-rs/2015/2015_018-eng.pdf","Survey index","Survey based stock assessment method",NA,NA,2007,103000,"TBbest-MT","MT",103000,103000,61800,129000000,82700000,48800,17500,NA,NA,0.0284466019417476,0.0436893203883495
"DFO-NFLD-COD2J3KL-1850-2011-CHING","COD2J3KL","Canada","Canada East Coast","NULL","Survey index","Survey based stock assessment method",NA,NA,2007,103000,"TBbest-MT","MT",103000,103000,61800,NA,NA,49400,17200,NA,NA,0.0241,0.0407
"DFO-NFLD-COD2J3KL-1959-2018-ASHBROOK","COD2J3KL","Canada","Canada East Coast","http://www.dfo-mpo.gc.ca/csas-sccs/Publications/ResDocs-DocRech/2018/2018_018-eng.html","Statistical catch at age model","Integrated Catch-at-age Analysis",NA,NA,2007,167000,"TBbest-MT","MT",167000,167000,125000,325000000,267000000,85000,42000,NA,NA,0.0159079431137725,0.022518072
