assessid,stockid,country,region,assesssource,method,methodlong,M,M_notes,ty,B_ty,B_type,B_unit,F_ty,F_type,F_unit,ERmsybest,ERmsybest_notes,Fmsy,Fmsy_notes,TBmsybest,TBmsybest_notes,SSBmsy,SSBmsy_notes,FECmsy,FECmsy_notes,OFL_pdf,OFL_pdf_notes,F_ABC,F_ABC_notes,ABC_pdf,ABC_pdf_notes,if_B_match,comments
NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD,BLUEFISHATLC,USA,US East Coast,http://www.asmfc.org/uploads/file/bluefishSummaryReport_SAWSARC_July2008.pdf,Statistical catch at age model,Age Structured Assessment Program,0.2,,2007,154000,TBbest-MT,MT,0.101,ERbest-ratio,ratio,NA,NA,0.19,Fmsy,147052,TBmsy-MT,NA,NA,NA,NA,,,,,,,Y,
NEFSC-BLUEFISHATLC-1985-2014-SISIMP2016,BLUEFISHATLC,USA,US East Coast,http://www.asmfc.org/uploads/file/55d2392c2015BluefishBenchmarkStockAssessment.pdf,Statistical catch at age model,Age Structured Assessment Program,0.2,NA,2007,83300,TBbest-MT,MT,0.207683073,ERbest-ratio,ratio,NA,NA,0.17,F40% as proxy,NA,NA,111228,SSB40%,NA,NA,,,,,,"Overall, bluefish have a low degree of vulnerability to becoming overfished, and the ABC can be set on the basis of the FMSY proxy without risk of causing the stock to become overfished. ",Y,
SEFSC-BNOSESHARATL-1950-2005-FAUCONNET,BNOSESHARATL,USA,US Southeast and Gulf,https://sedarweb.org/docs/sar/SAR_complete_2.pdf,State-space age-structured production model,State-space age-structured production model,0.25,0.33 to 0.22 for 13 ages,2005,372000,TN-E00,E00,0.144623656,ERbest-ratio,ratio,NA,NA,0.07,,570753,Nmsy,349060,SSFmsy,NA,NA,,,,,,,Y,
SEFSC-BNOSESHARATL-1950-2009-SISIMP2016,BNOSESHARATL,USA,US Southeast and Gulf,https://sedarweb.org/docs/sar/GoM_Blacknose_SAR.pdf,State-space age-structured production model,State-space age-structured production model,0.2,Arithmetic mean of the age-specific values of M used for the baseline run ,2005,170000,TN-E00,E00,0.087058824,ERbest-ratio,ratio,NA,NA,0.08,Direct estimate,153709,Nmsy,96809,SSFmsy,NA,NA,,,,,,,Y,
PFMC-BOCACCSPCOAST-1930-2009-CHING,BOCACCSPCOAST,USA,US West Coast,https://www.pcouncil.org/documents/2010/01/status-of-bocaccio-sebastes-paucispinis-in-the-conception-monterey-and-eureka-inpfc-areas-for-2009.pdf/,Stock Synthesis v3.0 model,Stock Synthesis v3.0 model,0.15,NA,2008,12700,TBbest-MT,MT,0.00614,ERbest-ratio,ratio,NA,NA,0.078,Exploitation rate MSY est.,20936.94,Bmsy,NA,NA,2651890,Spawning output ,,,,,618,MT,Y,
SWFSC-BOCACCSPCOAST-1935-2013-SISIMP2016,BOCACCSPCOAST,USA,US West Coast,https://www.pcouncil.org/documents/2014/01/status-of-bocaccio-sebastes-paucispinis-in-the-conception-monterey-and-eureka-inpfc-areas-as-evaluated-for-2013-submitted-january-17-2014.pdf/,Stock Synthesis v3.0 model,Stock Synthesis v3.0 model,NA,NA,2008,10800,TBbest-MT,MT,0.005462963,ERbest-ratio,ratio,NA,NA,0.084,Exploitation rate MSY est.,NA,NA,NA,NA,2.61E+12,Spawning output ,,,,,618,MT,Y,
NEFSC-BSBASSMATLC-1939-2015-ASHBROOK,BSBASSMATLC,USA,US East Coast,http://www.asmfc.org/uploads/file/5953f11d2016BlackSeaBassStockAssmt.pdf,Statistical catch at age model,Statistical catch-at-age model,0.4,range of 0.1 to 0.9,2007,4354.133,TBbest-MT,MT,0.235617516,ERbest-ratio,ratio,0.1795,ERmsy-calc-ratio,0.36,FMSY = F40% ,17256,TBmsy-MT,9667,SSBmsy,NA,NA,,,,,,,Y,
NEFSC-BSBASSMATLC-1968-2007-SHEPHERD,BSBASSMATLC,USA,US East Coast,https://repository.library.noaa.gov/view/noaa/25243,Statistical catch at age model,A statistical catch-at-length model,0.4,,2007,12900,TBbest-MT,MT,0.217829457,ERbest-ratio,ratio,0.3027,ERmsy-ratio,NA,NA,12892.3,TBmsy-MT,12537,SSBmsy,NA,NA,,,,,,,Y,
NEFSC-BSBASSMATLC-1968-2011-SISIMP2016,BSBASSMATLC,USA,US East Coast,https://repository.library.noaa.gov/view/noaa/4001,Statistical catch at age model,A statistical catch-at-length model,0.4,range of 0.1 to 0.9,2007,14100,TBbest-MT,MT,0.165957447,ERbest-ratio,ratio,NA,NA,0.44,F40% as proxy,NA,NA,10880,Length-based YPR,NA,NA,,,,,,,Y,
SWFSC-CALSCORPSCAL-1914-2015-SISIMP2016,CALSCORPSCAL,USA,US West Coast,https://www.pcouncil.org/documents/2017/01/status-of-california-scorpionfish-scorpaena-guttata-off-southern-california-in-2017.pdf/,Stock Synthesis v3.0 model,Stock Synthesis v3.0 model,0.25,NA,2004,1840,TBbest-MT,MT,0.029836957,ERbest-ratio,ratio,0.3236,ERmsy-ratio,NA,NA,NA,NA,358.8,SSBmsy,NA,NA,,,,,,,Y,
SWFSC-CALSCORPSCAL-1990-2005-STANTON,CALSCORPSCAL,USA,US West Coast,https://www.pcouncil.org/documents/2005/05/the-status-of-california-scorpionfish-scorpaena-guttata-off-southern-california-in-2004-25-may-2005.pdf/,Stock Synthesis v2.0 model,Stock Synthesis v2.0 model,0.25,,2004,1860,TBbest-MT,MT,0.071,ERbest-ratio,ratio,0.161,ERmsy-ratio,NA,NA,788.8199,TBmsy-calc-MT,259,SSBmsy,NA,NA,,,,,,,Y,
NWFSC-CHILISPCOAST-1892-2007-BRANCH,CHILISPCOAST,USA,US West Coast,https://www.pcouncil.org/documents/2009/01/status-of-the-chilipepper-rockfish-sebastes-goodei-in-2007.pdf/,Stock Synthesis v2.0 model,Stock Synthesis v2.0 model,0.181,"0. 16 for females, 0.202 for males, average for M",2006,32900,TBbest-MT,MT,0.00387,ERbest-ratio,ratio,0.112,ERmsy-ratio,NA,NA,19321.4286,TBmsy-calc-MT,12126,SSBmsy,NA,NA,"2,700",,,,"2,700",,,
SWFSC-CHILISPCOAST-1892-2015-SISIMP2016,CHILISPCOAST,USA,US West Coast,https://www.pcouncil.org/documents/2016/06/status-of-the-chilipepper-rockfish-sebastes-goodei-in-the-california-current-for-2015.pdf/,Stock Synthesis v3.0 model,Stock Synthesis v3.0 model,0.181,"0. 16 for females, 0.202 for males, average for M",2006,37500,TBbest-MT,MT,0.00336,ERbest-ratio,ratio,NA,NA,0.095,SPR50% as proxy,NA,NA,2390,SSBmsy,NA,NA,"2,700",,,,"2,700",,,
SWFSC-CMACKPCOAST-1929-2008-PINSKY,CMACKPCOAST,USA,US West Coast,http://www.pcouncil.org/cps/cpssafe/0608safe/PFMC_2008_CPS_SAFE_App2_PMackerel.pdf,Statistical catch at age model,Age Structured Assessment Program,0.5,,2008,85190.90549,TBbest-MT,MT,0.0718,ERbest-ratio,ratio,0.184,ERmsy-ratio,0.138,,125284.8993,TBmsy-calc-MT,122357,NA,NA,NA,,,,,,,,"This panel also reviewed several Stock Synthesis2 (SS2) model runs, but could not identify an acceptable SS2 model configuration (see STAR Panel report, May 2007). Thus, the STAR Panel recommended that future stock assessments continue to examine the possibility of using SS2 as an alternative to the ASAP platform "
SWFSC-CMACKPCOAST-1983-2015-SISIMP2016,CMACKPCOAST,USA,US West Coast,https://www.pcouncil.org/documents/2013/05/pacific-mackerel-biomass-projection-may-2013.pdf/,Stock Synthesis v3.0 model,Stock Synthesis v3.0 model,0.5,NA,2008,68400,TBbest-MT,MT,0.0783,ERbest-ratio,ratio,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
PFMC-COWCODSCAL-1900-2015-HIVELY,COWCODSCAL,USA,US West Coast,,Population dynamics (Extended Depletion-Based Stock Reduction Analysis),Extended Depletion-Based Stock Reduction Analysis,0.055,,2012,1020,TBbest-MT,MT,0.001,ERbest-ratio,ratio,0.055,ERmsy-ratio,NA,NA,1254.5455,TBmsy-calc-MT,629,NA,NA,NA,,,,,,,,
SWFSC-COWCODSCAL-1900-2012-SISIMP2016,COWCODSCAL,USA,US West Coast,https://www.pcouncil.org/documents/2014/08/status-and-productivity-of-cowcod-sebastes-levis-in-the-southern-california-bight-2013-august-20-2014.pdf/,Population dynamics (Extended Depletion-Based Stock Reduction Analysis),Extended Depletion-Based Stock Reduction Analysis,0.055,NA,2012,1020,TBbest-MT,MT,0.00081,ERbest-ratio,ratio,0.05,ERmsy-ratio,NA,NA,1240,TBmsy-calc-MT,NA,NA,NA,NA,,,,,,,,
NWFSC-CROCKPCOAST-1892-2015-SISIMP2016,CROCKPCOAST,USA,US West Coast,https://www.pcouncil.org/documents/2016/05/the-status-of-canary-rockfish-sebastes-pinniger-in-the-california-current-in-2015-march-2016.pdf/,Stock Synthesis v3.0 model,Stock Synthesis v3.0 model,0.0521,"for males and females < age 6, others for females age 14+ as estimated in the model",2010,31600,TBbest-MT,MT,0.001405063,ERbest-ratio,ratio,0.066,ERmsy-ratio,NA,NA,NA,NA,NA,NA,2111000000,Spawning output at MSY (eggs) ,,,,,940,,,
NWFSC-CROCKPCOAST-1916-2011-STACHURA,CROCKPCOAST,USA,US West Coast,https://www.pcouncil.org/documents/2011/12/status-update-of-the-u-s-canary-rockfish-resource-in-2011-november-2011.pdf/,Stock Synthesis v3.0 model,Stock Synthesis v3.0 model,0.06,"for males and females < age 6, linear ramp up to 0.097 for females age 14+ as estimated in the model",2010,15700,TBbest-MT,MT,0.0052,ERbest-ratio,ratio,0.0304,ERmsy-ratio,NA,NA,26414.4737,TBmsy-calc-MT,10464,SSBmsy,NA,NA,,,,,940,,,
NWFSC-DKROCKPCOAST-1915-2015-SISIMP2016,DKROCKPCOAST,USA,US West Coast,https://www.pcouncil.org/documents/2016/04/status-of-the-darkblotched-rockfish-resource-off-the-continental-u-s-pacific-coast-in-2015-april-2016.pdf/,Stock Synthesis v3.0 model,Stock Synthesis v3.0 model,0.054,follow the approach taken in the 2013 assessment to fix female natural mortality and estimate male natural mortality within the base model ,2010,14100,TBbest-MT,MT,0.024893617,ERbest-ratio,ratio,0.0655,NA,NA,NA,NA,NA,NA,NA,815000000,Spawning output at MSY (eggs) ,,,,,,,,
NWFSC-DKROCKPCOAST-1928-2011-STACHURA,DKROCKPCOAST,USA,US West Coast,https://www.pcouncil.org/documents/2011/11/status-and-future-prospects-for-the-darkblotched-rockfish-resource-in-waters-off-washington-oregon-and-california-in-2011-november-2011.pdf/,Stock Synthesis v3.0 model,Stock Synthesis v3.0 model,0.07,fixed based on max age and age at maturity,2010,13400,TBbest-MT,MT,0.0215,ERbest-ratio,ratio,0.068,NA,NA,,NA,NA,NA,NA,7.07E+11,Spawning output at MSY (eggs) ,,,,,,,,
AFSC-DSOLEGA-1978-2009-STACHURA,DSOLEGA,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/refm/docs/2009/GOAdeepflat.pdf,Statistical catch at age model,an AD-Model builder statistical Catch at Age Model,0.085,,2009,90000,TBbest-MT,MT,0.00509,ERbest-ratio,ratio,NA,NA,0.149,F_OFL (F35%),NA,NA,12468,SSB35%,NA,NA,"7,436",t,0.119,F40%,"6,007",t,,
AFSC-DSOLEGA-1978-2015-SISIMP2016,DSOLEGA,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/REFM/Docs/2015/GOAdeepflat.pdf,Stock Synthesis v3.0 model,Stock Synthesis v3.0 model,0.085,NA,2009,126000,TBbest-MT,MT,0.003722222,ERbest-ratio,ratio,NA,NA,0.12,NA,NA,NA,19855,SSB35%,NA,NA,,,0.1,,,,,
AFSC-DUSROCKGA-1973-2010-STACHURA,DUSROCKGA,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/refm/docs/2009/GOApelshelf.pdf,Statistical catch at age model,an AD-Model builder statistical Catch at Age Model,0.07,,2009,71100,TBbest-MT,MT,0.0429,ERbest-ratio,ratio,NA,NA,0.106,F_OFL (F35%),NA,NA,16764,SSB35%,NA,NA,,,0.087,F40%,,,,
AFSC-DUSROCKGA-1977-2015-SISIMP2016,DUSROCKGA,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/REFM/Docs/2015/GOAdusky.pdf,Statistical catch at age model,an AD-Model builder statistical Catch at Age Model,0.07,NA,2009,88500,TBbest-MT,MT,0.034576271,ERbest-ratio,ratio,NA,NA,0.121,F_OFL (F35%),NA,NA,17244,SSB35%,NA,NA,,,0.098,F40%,,,,
AFSC-FLSOLEBSAI-1974-2010-STACHURA,FLSOLEBSAI,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/REFM/docs/2010/BSAIflathead.pdf,Statistical catch at age model,an AD-Model builder statistical Catch at Age Model,0.2,,2010,772000,TBbest-MT,MT,0.023963731,ERbest-ratio,ratio,NA,NA,0.342,F_OFL (F35%),NA,NA,117609,SSB35%,NA,NA,,,0.28,F40%,,,,
AFSC-FLSOLEBSAI-1977-2015-SISIMP2016,FLSOLEBSAI,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/REFM/Docs/2015/BSAIflathead.pdf,Stock Synthesis v3.0 model,Stock Synthesis v3.0 model,0.2,NA,2010,776000,TBbest-MT,MT,0.025902062,ERbest-ratio,ratio,NA,NA,0.35,F_OFL (F35%),NA,NA,111722,SSB35%,NA,NA,,,0.28,F40%,,,,
AFSC-FLSOLEGA-1978-2010-STACHURA,FLSOLEGA,USA,US Alaska,http://apps-afsc.fisheries.noaa.gov/REFM/docs/2010/GOAflathead.pdf,Statistical catch at age model,an AD-Model builder statistical Catch at Age Model,0.2,,2010,329000,TBbest-MT,MT,0.0115,ERbest-ratio,ratio,NA,NA,0.53,F_OFL (F35%),NA,NA,39159,SSB35%,NA,NA,"59,213",MT,0.406,F40%,"47,355",MT,,
AFSC-FLSOLEGA-1978-2015-SISIMP2016,FLSOLEGA,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/REFM/Docs/2016/GOAflathead.pdf,Stock Synthesis v3.0 model,Stock Synthesis v3.0 model,0.2,NA,2010,235000,TBbest-MT,MT,0.016340426,ERbest-ratio,ratio,NA,NA,0.4,F_OFL (F35%),NA,NA,32258,SSB35%,NA,NA,,,0.32,F40%,,,,
SEFSC-GRAMBERGM-1950-2012-SISIMP2016,GRAMBERGM,USA,US Southeast and Gulf,http://sedarweb.org/docs/sar/SEDAR%2033%20SAR-%20GAJ%20Stock%20Assessment%20Report%20FINAL_sizereduced_5.15.2014.pdf,Stock Synthesis v3.0 model,Stock Synthesis v3.0 model,0.25,,2004,3750,TBbest-MT,MT,0.468,ERbest-ratio,ratio,0.22,ERmsy-ratio,0.33,NA,7422.4211,TBmsy-calc-MT,4626.6425,SSBmsy,NA,NA,,,,,,,,
SEFSC-GRAMBERGM-1986-2004-JENSEN,GRAMBERGM,USA,US Southeast and Gulf,http://sedarweb.org/docs/sar/SEDAR9_SAR2%20GOM%20GreaterAmberjack.pdf,Biomass dynaic model (Surplus production model),Surplus production model,0.25,NA,2004,1930,TBbest-MT,MT,0.865,ERbest-ratio,ratio,0.2469,ERmsy-ratio,0.5679,,4024.7218,TBmsy-MT,NA,NA,NA,NA,,,,,,,,
NWFSC-KELPGREENLINGORECOAST-1915-2015-SISIMP2016,KELPGREENLINGORECOAST,USA,US West Coast,https://www.pcouncil.org/documents/2016/04/status-of-kelp-greenling-hexagrammos-decagrammus-along-the-oregon-coast-in-2015-november-17-2015.pdf/,Stock Synthesis v3.0 model,Stock Synthesis v3.0 model,0.34,"0.36 for female, 0.318 for male",2004,1330,TBbest-MT,MT,0.026090226,ERbest-ratio,ratio,0.24,NA,NA,NA,NA,NA,111,SSBmsy,NA,NA,,,,,,a buffer of 4.4% or 5.4% was used to calculate ABC from the OFL based on SPR45% ,,
NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON,KELPGREENLINGORECOAST,USA,US West Coast,http://www.pcouncil.org/groundfish/gfsafe0406/gfsafe0406.html,Stock Synthesis v2.0 model,Stock Synthesis v2.0 model,0.26,both sexes,2004,698,TBbest-MT,MT,0.074212034,ERbest-ratio,ratio,0.125,ERmsy-pr-ratio,NA,NA,656,TBmsy-calc-MT,123,SSBmsy,NA,NA,,,,,,,,
ASMFC-MENATLAN-1940-2017-ASHBROOK,MENATLAN,USA,US East Coast,http://www.asmfc.org/uploads/file/59832ee0MenhadenStockAssessmentUpdate_Aug2017.pdf,Statistical catch at age model,Beaufort assessment model,0.45,age-specific,2005,784000,TBbest-MT,MT,0.195153061,ERbest-ratio,ratio,NA,NA,0.51,F36% (target) ,NA,NA,NA,NA,8.35E+13,FEC36% (target) ,,,,,,,,
NMFS-MENATLAN-1940-2005-STANTON,MENATLAN,USA,US East Coast,http://www.asmfc.org/speciesDocuments/menhaden/reports/stockAssessments/2006StockAssessmentReport.pdf,Statistical catch at age model,an AD-Model builder statistical Catch at Age Model,0.45,,2005,689000,TBbest-MT,MT,0.269,ERbest-ratio,ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
NEFSC-MONKGOMNGB-1979-2010-SISIMP2016,MONKGOMNGB,USA,US East Coast,https://www.st.nmfs.noaa.gov/stocksmart?stockname=Goosefish%20-%20Gulf%20of%20Maine%20/%20Northern%20Georges%20Bank&stockid=10500,Statistical catch at age model,A statistical catch-at-length model,0.3,NA,2009,47300,TBbest-MT,MT,0.077801268,ERbest-ratio,ratio,0.2037,ERmsy-calc-ratio,0.44,Fmax as proxy,46074,Bmax at Fmax ,NA,NA,NA,NA,,,,,,,,
NEFSC-MONKGOMNGB-1980-2009-HIVELY,MONKGOMNGB,USA,US East Coast,https://repository.library.noaa.gov/view/noaa/3744,Statistical catch at length model,An AD-Model Builder catch at length model,0.3,,2009,66100,TBbest-MT,MT,0.057186082,ERbest-ratio,ratio,NA,NA,0.43,Fmax as proxy,52930,Bmax at Fmax ,NA,NA,NA,NA,,,,,,,,
NEFSC-MONKSGBMATL-1979-2010-SISIMP2016,MONKSGBMATL,USA,US East Coast,,Statistical catch at age model,A statistical catch-at-length model,0.3,NA,2009,124000,TBbest-MT,MT,0.057741935,ERbest-ratio,ratio,0.1999,ERmsy-calc-ratio,0.37,Fmax as proxy,71667,Bmax at Fmax ,NA,NA,NA,NA,,,,,,,,
NEFSC-MONKSGBMATL-1980-2009-HIVELY,MONKSGBMATL,USA,US East Coast,http://www.nefsc.noaa.gov/saw/reports.html,Statistical catch at length model,An AD-Model Builder catch at length model,0.3,,2009,131000,TBbest-MT,MT,0.046641221,ERbest-ratio,ratio,NA,NA,0.46,Fmax as proxy,74490,Bmax at Fmax ,NA,NA,NA,NA,,,,,,,,
AFSC-NROCKBSAI-1974-2011-STACHURA,NROCKBSAI,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/REFM/docs/2011/BSAInorthern.pdf,Statistical catch at age model,an AD-Model builder statistical Catch at Age Model,0.0427,,2009,202000,TBbest-MT,MT,0.0154,ERbest-ratio,ratio,NA,NA,0.071,F_OFL (F35%),NA,NA,44285,B35%,NA,NA,,,0.058,F40%,,,,
AFSC-NROCKBSAI-1977-2015-SISIMP2016,NROCKBSAI,USA,US Alaska,,Statistical catch at age model,an AD-Model builder statistical Catch at Age Model,0.049,NA,2009,236000,TBbest-MT,MT,0.013177966,ERbest-ratio,ratio,NA,NA,0.087,F_OFL (F35%),NA,NA,50547,B35%,NA,NA,,,0.07,F40%,,,,
AFSC-NROCKGA-1959-2010-STACHURA,NROCKGA,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/refm/docs/2009/GOAnorthern.pdf,Statistical catch at age model,an AD-Model builder statistical Catch at Age Model,0.06,estimated; used a prior of 0.06 with CV of 5%,2010,103000,TBbest-MT,MT,0.0346,ERbest-ratio,ratio,0.0944,ERmsy-ratio,0.071,F_OFL (F35%),64270.0285,TBmsy-calc-MT,21479,SSB35%,NA,NA,,,0.059,F40%,,,,
AFSC-NROCKGA-1961-2015-SISIMP2016,NROCKGA,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/REFM/Docs/2015/GOAnork.pdf,Statistical catch at age model,an AD-Model builder statistical Catch at Age Model,0.059,NA,2010,111000,TBbest-MT,MT,0.035045045,ERbest-ratio,ratio,NA,NA,0.074,F_OFL (F35%),NA,NA,24485,SSB35%,,,,,0.062,F40%,,,,
AFSC-NRSOLEEBSAI-1975-2012-HIVELY,NRSOLEEBSAI,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/REFM/Docs/2012/BSAIrocksole.pdf,Survey index,Temporal indices derived from scientific survey data (a separable catch-age analysis that uses survey estimates of biomass and age composition as auxiliary information),0.15,,2012,"1,626,770",TBbest-MT,MT,0.045644172,ERbest-ratio,ratio,NA,NA,0.164,,NA,NA,259510,SSBmsy,,,,,0.146,,,,,
AFSC-NRSOLEEBSAI-1975-2015-SISIMP2016,NRSOLEEBSAI,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/REFM/Docs/2015/BSAIrocksole.pdf,Survey index,Temporal indices derived from scientific survey data (a separable catch-age analysis that uses survey estimates of biomass and age composition as auxiliary information),0.15,NA,2012,"1,654,470",TBbest-MT,MT,0.049738562,ERbest-ratio,ratio,NA,NA,0.151,NA,NA,NA,265000,SSBmsy,,,,,0.147,,,,N,
AFSC-PERCHEBSAI-1960-2011-STACHURA,PERCHEBSAI,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/REFM/docs/2011/BSAIpop.pdf,Statistical catch at age model,an AD-Model builder statistical Catch at Age Model,0.062,,2009,613000,TBbest-MT,MT,0.0251,ERbest-ratio,ratio,NA,NA,0.074,F_OFL,NA,NA,137849,SSB35%,,,,,0.061,,,,,
AFSC-PERCHEBSAI-1960-2015-SISIMP2016,PERCHEBSAI,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/REFM/Docs/2015/BSAIpop.pdf,Statistical catch at age model,an AD-Model builder statistical Catch at Age Model,0.062,NA,2009,656000,TBbest-MT,MT,0.023323171,ERbest-ratio,ratio,NA,NA,0.109,F_OFL,NA,NA,148053,SSB35%,,,,,0.089,,,,,
AFSC-POPERCHGA-1959-2010-STACHURA,POPERCHGA,USA,US Alaska,https://apps-afsc.fisheries.noaa.gov/REFM/docs/2010/GOApop.pdf,Statistical catch at age model,an AD-Model builder statistical Catch at Age Model,0.061,,2010,335000,TBbest-MT,MT,0.0434,ERbest-ratio,ratio,0.0849,ERmsy-ratio,0.142,F_OFL,238361.6198,TBmsy-calc-MT,79664,SSB35%,,,,,0.123,,,,,
